Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,1707
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,10898857
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,5020543
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,2031861
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,10898857
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,5020543
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,468084
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,307913
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,468084
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,345389
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,307913
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,345389
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,134428,113674
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,69630
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,113674
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,34356
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,35151,34356
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,26295,69630
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,23760,18032
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,2031861
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,10770
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,18032
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,1708
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,1585,10770
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,1708
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,11118599
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,5070707
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,2025443
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,11118599
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,5070707
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,467146
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,344388
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,467146
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,310248
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,310248
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,344388
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,113344
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,69141
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,113344
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,33315
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,33315
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,69141
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,24575,18212
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,2025443
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,10799
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,18212
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,1705
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,1641,10799
